meanX,meanY,meanZ,meanXYZ,averageGravity,horizontalAccels,verticalAccels,RMS,variance,relative,sma,horizontalEnergy,vectorSVM,dsvm,activity,mobility,complexity,fourier,xFFTEnergy,yFFTEnergy,zFFTEnergy,meanFFTEnergy,xFFTEntropy,yFFTEntropy,zFFTEntropy,meanFFTEntropy,devX,devY,devZ,status
-0.679438,5.04334,6.786774,9.353773784,9.353773784,5.211134122,6.061145036,-4.26E-15,5.480983806,-2.857544479,-1,0,9.353773784,-1,5.557140688,0.982471524,1.306444507,-0.829952,8.245987482,1005.450665,1982.130928,3417.698594,0.050447564,0.01023204,0.037289369,0,0.991447752,2.409135049,4.731354267,Dec
-0.165774,4.411776,7.912992,10.80445634,10.80445634,4.51344956,7.528386039,2.63E-15,24.2502948,-1.480782613,-1,0,10.80445634,-1,11.37016226,1.139212842,1.456599103,-0.829952,9.382684797,803.4230283,3879.401346,4560.010815,0.057093675,0.031749998,0.046344177,0,0.991447752,2.409135049,4.731354267,Dec
-1.788484615,5.125542308,7.392811538,9.449046384,9.449046384,5.695184955,7.008205577,-6.83E-17,1.300409086,-3.71021718,-1,0,9.449046384,-1,0.88520972,1.257979101,1.512642537,-0.829952,62.22206875,570.5603318,1196.967125,1886.134589,0.05880454,0.052741521,0.062698492,0,0.991447752,2.409135049,4.731354267,Dec
-0.679438,5.04334,6.786774,9.353773784,9.353773784,5.211134122,6.402168039,-4.26E-15,5.480983806,-2.857544479,-1,0,9.353773784,-1,5.557140688,0.982471524,1.306444507,-0.829952,8.245987482,1005.450665,1982.130928,3417.698594,0.050447564,0.01023204,0.037289369,0,0.991447752,2.409135049,4.731354267,Dec
-0.165774,4.411776,7.912992,10.80445634,10.80445634,4.51344956,7.528386039,2.63E-15,24.2502948,-1.480782613,-1,0,10.80445634,-1,11.37016226,1.139212842,1.456599103,-0.829952,9.382684797,803.4230283,3879.401346,4560.010815,0.057093675,0.031749998,0.046344177,0,0.991447752,2.409135049,4.731354267,Dec
-1.788484615,5.125542308,7.392811538,9.449046384,9.449046384,5.695184955,7.008205577,-6.83E-17,1.300409086,-3.71021718,-1,0,9.449046384,-1,0.88520972,1.257979101,1.512642537,-0.829952,62.22206875,570.5603318,1196.967125,1886.134589,0.05880454,0.052741521,0.062698492,0,0.991447752,2.409135049,4.731354267,Dec
